"","Date","Index","Close"
"19760",2016-08-16,"Nikkei",16596.50977
"19761",2016-08-17,"S&P 500",2182.219971
"19762",2016-08-17,"Dow Jones",18573.93945
"19763",2016-08-17,"DAX",10537.66992
"19764",2016-08-17,"Nikkei",16745.64063
"19765",2016-08-18,"S&P 500",2187.02002
"19766",2016-08-18,"Dow Jones",18597.69922
"19767",2016-08-18,"DAX",10603.03027
"19768",2016-08-18,"Nikkei",16486.00977
"19769",2016-08-19,"S&P 500",2183.870117
"19770",2016-08-19,"Dow Jones",18552.57031
"19771",2016-08-19,"DAX",10544.36035
"19772",2016-08-19,"Nikkei",16545.82031
"19773",2016-08-22,"S&P 500",2182.639893
"19774",2016-08-22,"Dow Jones",18529.41992
"19775",2016-08-22,"DAX",10494.34961
"19776",2016-08-22,"Nikkei",16598.18945
"19777",2016-08-23,"S&P 500",2186.899902
"19778",2016-08-23,"Dow Jones",18547.30078
"19779",2016-08-23,"DAX",10592.87988
"19780",2016-08-23,"Nikkei",16497.35938
"19781",2016-08-24,"S&P 500",2175.439941
"19782",2016-08-24,"Dow Jones",18481.48047
"19783",2016-08-24,"DAX",10622.96973
"19784",2016-08-24,"Nikkei",16597.30078
"19785",2016-08-25,"S&P 500",2172.469971
"19786",2016-08-25,"Dow Jones",18448.41016
"19787",2016-08-25,"DAX",10529.58984
"19788",2016-08-25,"Nikkei",16555.94922
"19789",2016-08-26,"S&P 500",2169.040039
"19790",2016-08-26,"Dow Jones",18395.40039
"19791",2016-08-26,"DAX",10587.76953
"19792",2016-08-26,"Nikkei",16360.70996
"19793",2016-08-29,"S&P 500",2180.379883
"19794",2016-08-29,"Dow Jones",18502.99023
"19795",2016-08-29,"DAX",10544.44043
"19796",2016-08-29,"Nikkei",16737.49023
"19797",2016-08-30,"S&P 500",2176.120117
"19798",2016-08-30,"Dow Jones",18454.30078
"19799",2016-08-30,"DAX",10657.63965
"19800",2016-08-30,"Nikkei",16725.35938
"19801",2016-08-31,"S&P 500",2170.949951
"19802",2016-08-31,"Dow Jones",18400.88086
"19803",2016-08-31,"DAX",10592.69043
"19804",2016-08-31,"Nikkei",16887.40039
"19805",2016-09-01,"S&P 500",2170.860107
"19806",2016-09-01,"Dow Jones",18419.30078
"19807",2016-09-01,"DAX",10534.30957
"19808",2016-09-01,"Nikkei",16926.83984
"19809",2016-09-02,"S&P 500",2179.97998
"19810",2016-09-02,"Dow Jones",18491.96094
"19811",2016-09-02,"DAX",10683.82031
"19812",2016-09-02,"Nikkei",16925.67969
"19813",2016-09-06,"S&P 500",2186.47998
"19814",2016-09-06,"Dow Jones",18538.11914
"19815",2016-09-06,"DAX",10687.13965
"19816",2016-09-06,"Nikkei",17081.98047
"19817",2016-09-07,"S&P 500",2186.159912
"19818",2016-09-07,"Dow Jones",18526.14063
"19819",2016-09-07,"DAX",10752.98047
"19820",2016-09-07,"Nikkei",17012.43945
"19821",2016-09-08,"S&P 500",2181.300049
"19822",2016-09-08,"Dow Jones",18479.91016
"19823",2016-09-08,"DAX",10675.29004
"19824",2016-09-08,"Nikkei",16958.76953
"19825",2016-09-09,"S&P 500",2127.810059
"19826",2016-09-09,"Dow Jones",18085.44922
"19827",2016-09-09,"DAX",10573.44043
"19828",2016-09-09,"Nikkei",16965.75977
"19829",2016-09-12,"S&P 500",2159.040039
"19830",2016-09-12,"Dow Jones",18325.07031
"19831",2016-09-12,"DAX",10431.76953
"19832",2016-09-12,"Nikkei",16672.91992
"19833",2016-09-13,"S&P 500",2127.02002
"19834",2016-09-13,"Dow Jones",18066.75
"19835",2016-09-13,"DAX",10386.59961
"19836",2016-09-13,"Nikkei",16729.03906
"19837",2016-09-14,"S&P 500",2125.77002
"19838",2016-09-14,"Dow Jones",18034.76953
"19839",2016-09-14,"DAX",10378.40039
"19840",2016-09-14,"Nikkei",16614.24023
"19841",2016-09-15,"S&P 500",2147.26001
"19842",2016-09-15,"Dow Jones",18212.48047
"19843",2016-09-15,"DAX",10431.2002
"19844",2016-09-15,"Nikkei",16405.00977
"19845",2016-09-16,"S&P 500",2139.159912
"19846",2016-09-16,"Dow Jones",18123.80078
"19847",2016-09-16,"DAX",10276.16992
"19848",2016-09-16,"Nikkei",16519.28906
"19849",2016-09-19,"S&P 500",2139.120117
"19850",2016-09-19,"Dow Jones",18120.16992
"19851",2016-09-19,"DAX",10373.87012
"19852",2016-09-19,"Nikkei",NA
"19853",2016-09-20,"S&P 500",2139.76001
"19854",2016-09-20,"Dow Jones",18129.96094
"19855",2016-09-20,"DAX",10393.86035
"19856",2016-09-20,"Nikkei",16492.15039
"19857",2016-09-21,"S&P 500",2163.120117
"19858",2016-09-21,"Dow Jones",18293.69922
"19859",2016-09-21,"DAX",10436.49023
"19860",2016-09-21,"Nikkei",16807.61914
"19861",2016-09-22,"S&P 500",2177.179932
"19862",2016-09-22,"Dow Jones",18392.46094
"19863",2016-09-22,"DAX",10674.17969
"19864",2016-09-22,"Nikkei",NA
"19865",2016-09-23,"S&P 500",2164.689941
"19866",2016-09-23,"Dow Jones",18261.44922
"19867",2016-09-23,"DAX",10626.96973
"19868",2016-09-23,"Nikkei",16754.01953
"19869",2016-09-26,"S&P 500",2146.100098
"19870",2016-09-26,"Dow Jones",18094.83008
"19871",2016-09-26,"DAX",10393.70996
"19872",2016-09-26,"Nikkei",16544.56055
"19873",2016-09-27,"S&P 500",2159.929932
"19874",2016-09-27,"Dow Jones",18228.30078
"19875",2016-09-27,"DAX",10361.48047
"19876",2016-09-27,"Nikkei",16683.92969
"19877",2016-09-28,"S&P 500",2171.370117
